{'problem': 'piecewise-linear', 'properties': {'dim': 1000}, 'solver': 'proposed', 'params': {'lr': 0.001, 'reduced_dim': 1, 'mu': 1e-08, 'sample_size': 1, 'step_schedule': 'constant'}, 'iterations': 50000, 'interval': 1000, 'trial_numbers': 10}
{'problem': 'piecewise-linear', 'properties': {'dim': 1000}, 'solver': 'proposed', 'params': {'lr': 0.0001, 'reduced_dim': 100, 'mu': 1e-08, 'sample_size': 10, 'step_schedule': 'constant'}, 'iterations': 5000, 'interval': 1000, 'trial_numbers': 10}
{'fvalues': 499.43954824806707, 'time_values': 15.702348709106445}
{'fvalues': 496.8852638539799, 'time_values': 15.547718048095703}
{'fvalues': 504.75364289329434, 'time_values': 15.920528411865234}
{'fvalues': 494.3524390109843, 'time_values': 15.907689094543457}
{'fvalues': 497.02672814346164, 'time_values': 15.804901123046875}
{'fvalues': 503.2348913722308, 'time_values': 15.689739227294922}
{'fvalues': 500.05727687253665, 'time_values': 16.078332901000977}
{'fvalues': 495.1751325213303, 'time_values': 15.566692352294922}
{'fvalues': 501.2452666173461, 'time_values': 15.84184741973877}
{'fvalues': 496.9229609206108, 'time_values': 15.882942199707031}
{'problem': 'piecewise-linear', 'properties': {'dim': 1000}, 'solver': 'proposed', 'params': {'lr': 0.0001, 'reduced_dim': 100, 'mu': 1e-08, 'sample_size': 100, 'step_schedule': 'constant'}, 'iterations': 500, 'interval': 1000, 'trial_numbers': 10}
{'fvalues': 950.2105759670212, 'time_values': 13.224298477172852}
{'fvalues': 950.241198234727, 'time_values': 13.524883270263672}
{'fvalues': 949.8244628656605, 'time_values': 13.510677337646484}
{'fvalues': 950.574189571368, 'time_values': 13.5001220703125}
{'fvalues': 949.135312935666, 'time_values': 13.373741149902344}
{'fvalues': 949.5493424519454, 'time_values': 13.455145835876465}
{'fvalues': 949.5467633880767, 'time_values': 13.47197151184082}
{'fvalues': 950.2685436948452, 'time_values': 13.490739822387695}
{'fvalues': 949.8532078505413, 'time_values': 13.499153137207031}
